codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A755,29/08/2017,00,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A755,29/08/2017,23,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A755,29/08/2017,13,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A755,29/08/2017,01,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A755,29/08/2017,02,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A755,29/08/2017,11,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A755,29/08/2017,03,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A755,29/08/2017,04,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A755,29/08/2017,05,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A755,29/08/2017,06,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A755,29/08/2017,07,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A755,29/08/2017,14,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A755,29/08/2017,15,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A755,29/08/2017,12,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A755,29/08/2017,08,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A755,29/08/2017,16,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A755,29/08/2017,17,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A755,29/08/2017,18,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A755,29/08/2017,09,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A755,29/08/2017,19,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A755,29/08/2017,20,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A755,29/08/2017,21,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A755,29/08/2017,10,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A755,29/08/2017,22,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A755,30/08/2017,05,15.2,16.5,15.2,93,94,93,14.2,15.4,14.2,929.1,929.6,929.1,////,////,////,-3.54,0.0
A755,30/08/2017,06,14.8,15.2,14.6,94,94,93,13.8,14.2,13.6,928.8,929.1,928.8,////,////,////,-3.54,0.0
A755,30/08/2017,07,14.6,15.0,14.6,94,94,94,13.7,14.1,13.7,928.5,928.8,928.5,////,////,////,-3.54,0.2
A755,30/08/2017,08,14.1,14.6,14.0,95,95,94,13.2,13.7,13.1,928.8,928.8,928.5,////,////,////,-3.54,0.0
A755,30/08/2017,22,23.9,24.8,23.8,40,40,35,9.3,9.3,8.0,928.5,928.5,928.0,////,////,////,-3.54,0.0
A755,30/08/2017,23,22.0,23.9,22.0,51,51,40,11.4,11.4,9.5,929.0,929.0,928.5,////,////,////,-3.54,0.0
A755,30/08/2017,09,13.2,14.1,13.2,95,95,94,12.3,13.3,12.3,929.4,929.4,928.8,////,////,////,-3.54,0.0
A755,30/08/2017,10,13.6,13.6,13.1,95,95,94,12.7,12.8,12.3,929.7,929.7,929.4,////,////,////,63.85,0.0
A755,30/08/2017,11,15.3,15.3,13.6,92,95,92,14.0,14.2,12.7,930.3,930.3,929.7,////,////,////,613.6,0.0
A755,30/08/2017,12,19.4,19.4,15.3,56,92,56,10.4,14.5,10.2,930.4,930.4,930.3,////,////,////,1430.,0.0
A755,30/08/2017,13,22.9,22.9,19.4,42,56,41,9.5,10.7,8.8,930.4,930.6,930.4,////,////,////,2076.,0.0
A755,30/08/2017,14,26.3,26.3,22.9,32,43,32,8.2,10.0,7.6,930.0,930.4,930.0,////,////,////,2506.,0.0
A755,30/08/2017,15,29.0,29.0,26.3,28,33,27,8.6,9.2,7.7,929.2,930.0,929.2,////,////,////,2851.,0.0
A755,30/08/2017,16,30.2,30.2,29.0,26,30,21,8.6,9.8,4.6,928.5,929.2,928.5,////,////,////,2963.,0.0
A755,30/08/2017,17,30.0,30.4,29.9,25,29,24,8.0,9.9,7.3,927.7,928.5,927.7,////,////,////,2597.,0.0
A755,30/08/2017,00,19.4,21.0,19.4,83,83,75,16.5,16.7,16.1,929.7,929.7,929.2,////,////,////,-3.54,0.0
A755,30/08/2017,18,31.0,31.1,29.9,25,28,21,8.5,9.5,5.8,927.2,927.7,927.2,////,////,////,2330.,0.0
A755,30/08/2017,19,29.8,31.0,29.8,25,25,20,7.6,8.5,5.5,927.2,927.2,927.1,////,////,////,1686.,0.0
A755,30/08/2017,20,28.2,29.8,28.2,28,29,24,7.8,9.3,6.9,927.5,927.5,927.2,////,////,////,827.3,0.0
A755,30/08/2017,21,24.8,28.2,24.8,35,35,28,8.2,8.7,7.6,928.0,928.0,927.5,////,////,////,80.17,0.0
