codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A765,29/08/2017,00,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A765,29/08/2017,08,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A765,29/08/2017,09,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A765,29/08/2017,13,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A765,29/08/2017,14,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A765,29/08/2017,20,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A765,29/08/2017,21,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A765,29/08/2017,22,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A765,29/08/2017,23,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A765,29/08/2017,10,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A765,29/08/2017,01,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A765,29/08/2017,11,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A765,29/08/2017,02,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A765,29/08/2017,03,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A765,29/08/2017,04,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A765,29/08/2017,05,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A765,29/08/2017,12,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A765,29/08/2017,06,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A765,29/08/2017,15,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A765,29/08/2017,16,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A765,29/08/2017,17,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A765,29/08/2017,07,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A765,29/08/2017,18,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A765,29/08/2017,19,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A765,30/08/2017,02,20.3,20.4,20.3,84,85,83,17.6,17.7,17.4,1017.2,1017.7,1017.2,0.9,340,2.9,0.013,0.0
A765,30/08/2017,03,20.3,20.5,20.2,84,85,83,17.5,17.7,17.4,1016.8,1017.2,1016.8,0.9,334,3.0,0.017,0.0
A765,30/08/2017,04,19.9,20.4,19.9,86,86,84,17.4,17.7,17.4,1016.2,1016.8,1016.2,0.7,217,2.8,-0.78,0.0
A765,30/08/2017,05,19.4,19.9,19.4,88,88,86,17.3,17.7,17.3,1015.6,1016.2,1015.6,0.5,292,2.4,-1.51,0.0
A765,30/08/2017,06,18.5,19.4,18.5,92,92,88,17.2,17.6,17.1,1014.9,1015.6,1014.9,1.0,308,2.0,-3.59,0.0
A765,30/08/2017,07,17.5,18.5,17.5,94,94,92,16.5,17.2,16.5,1014.4,1014.9,1014.4,0.8,315,1.6,-3.60,0.0
A765,30/08/2017,08,16.8,17.6,16.8,94,94,94,15.8,16.6,15.8,1013.9,1014.4,1013.8,0.5,256,2.5,-3.60,0.0
