codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A530,29/08/2017,10,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A530,29/08/2017,00,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A530,29/08/2017,16,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A530,29/08/2017,17,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A530,29/08/2017,18,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A530,29/08/2017,19,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A530,29/08/2017,01,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A530,29/08/2017,02,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A530,29/08/2017,03,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A530,29/08/2017,11,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A530,29/08/2017,04,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A530,29/08/2017,05,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A530,29/08/2017,06,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A530,29/08/2017,07,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A530,29/08/2017,23,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A530,29/08/2017,21,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A530,29/08/2017,20,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A530,29/08/2017,22,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A530,29/08/2017,08,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A530,29/08/2017,12,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A530,29/08/2017,09,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A530,29/08/2017,14,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A530,29/08/2017,13,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A530,29/08/2017,15,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A530,30/08/2017,03,9.0,9.8,8.8,91,92,88,7.6,8.0,7.5,898.8,898.9,898.8,0.9,178,1.3,-3.53,0.0
A530,30/08/2017,04,8.7,9.0,7.3,95,95,90,7.9,8.1,6.2,898.7,898.8,898.5,0.5,179,2.5,-3.54,0.0
A530,30/08/2017,05,7.7,9.4,7.7,93,95,91,6.6,8.5,6.6,898.3,898.7,898.3,0.0,126,2.5,-3.54,0.0
A530,30/08/2017,06,6.8,7.6,6.7,95,95,93,6.1,6.6,5.9,898.1,898.4,898.1,0.0,355,0.0,-3.54,0.0
A530,30/08/2017,07,6.3,7.2,6.3,97,97,95,5.8,6.7,5.8,898.4,898.4,898.1,0.0,191,1.2,-3.54,0.0
A530,30/08/2017,08,6.1,6.5,6.0,97,97,97,5.8,6.1,5.5,898.7,898.7,898.4,0.0,166,0.9,-3.54,0.0
A530,30/08/2017,09,5.6,6.2,5.6,98,98,97,5.2,5.9,5.2,899.1,899.1,898.7,0.0,175,0.9,-2.77,0.0
A530,30/08/2017,10,8.4,8.5,5.3,95,98,95,7.7,8.0,5.0,899.5,899.5,899.1,0.0,152,0.0,250.0,0.0
A530,30/08/2017,11,14.5,14.6,8.4,70,95,70,9.1,10.3,7.8,899.9,899.9,899.5,0.4,70,1.4,1077.,0.0
A530,30/08/2017,13,22.9,23.3,20.3,39,49,39,8.3,10.1,7.9,899.9,900.1,899.9,1.0,26,3.5,2525.,0.0
A530,30/08/2017,12,20.6,20.9,14.5,46,73,44,8.7,12.0,8.0,900.0,900.1,899.9,0.3,113,1.7,1880.,0.0
A530,30/08/2017,14,25.9,26.1,22.8,32,42,31,7.7,9.8,7.1,899.2,899.9,899.2,1.3,13,3.8,2959.,0.0
A530,30/08/2017,16,29.1,29.1,27.3,21,28,20,4.6,7.8,4.2,897.3,898.1,897.3,1.0,214,6.3,3057.,0.0
A530,30/08/2017,15,27.9,28.3,25.4,25,33,25,6.1,8.2,5.7,898.1,899.2,898.1,1.0,349,3.7,3143.,0.0
A530,30/08/2017,01,10.7,11.6,9.8,88,89,84,8.8,9.1,7.6,898.7,898.7,898.4,0.3,162,1.5,-3.54,0.0
A530,30/08/2017,17,29.6,29.9,28.6,18,23,17,3.1,5.5,2.2,896.4,897.3,896.4,1.5,162,4.7,2717.,0.0
A530,30/08/2017,18,29.3,30.1,28.9,17,20,17,2.1,4.2,1.9,896.1,896.4,896.1,1.9,199,5.1,2207.,0.0
A530,30/08/2017,19,28.8,30.2,28.8,19,21,16,3.0,4.0,1.7,896.2,896.2,896.1,1.1,187,4.8,1492.,0.0
A530,30/08/2017,20,27.0,28.9,27.0,23,23,19,4.2,4.7,2.3,896.4,896.4,896.2,0.8,207,4.1,661.4,0.0
A530,30/08/2017,22,16.6,21.3,16.6,65,65,42,10.0,10.7,7.9,897.5,897.5,897.0,0.6,344,1.9,-3.54,0.0
A530,30/08/2017,21,21.3,27.0,21.3,42,43,23,7.8,8.5,4.2,897.1,897.1,896.4,0.0,16,2.9,30.56,0.0
A530,30/08/2017,00,11.3,13.6,11.3,84,84,73,8.6,8.9,8.5,898.5,898.5,898.1,0.0,197,1.1,-3.54,0.0
A530,30/08/2017,23,15.9,18.3,15.8,65,66,56,9.4,10.1,9.1,898.2,898.2,897.5,0.0,338,2.1,-3.54,0.0
A530,30/08/2017,02,9.8,10.7,9.6,89,89,87,8.1,8.6,7.8,898.8,898.9,898.7,0.0,185,1.2,-3.54,0.0
A530,31/08/2017,21,22.4,25.7,22.2,44,45,33,9.4,9.8,8.2,899.2,899.2,898.7,1.7,149,2.9,32.72,0.0
A530,31/08/2017,22,19.0,22.5,18.8,55,59,44,9.6,10.7,9.4,899.8,899.8,899.1,0.8,180,3.2,-3.54,0.0
A530,31/08/2017,00,13.3,15.9,13.3,77,77,65,9.4,9.8,9.2,898.6,898.6,898.2,0.0,164,0.8,-3.54,0.0
A530,31/08/2017,23,20.7,20.9,19.0,57,57,49,11.8,11.8,9.7,900.3,900.3,899.8,1.6,130,5.0,-3.54,0.0
A530,31/08/2017,01,11.5,13.3,11.5,85,86,77,9.1,9.7,9.1,899.0,899.0,898.6,0.0,186,0.0,-3.54,0.0
A530,31/08/2017,02,11.1,11.9,10.8,86,88,84,8.9,9.5,8.7,899.1,899.1,899.0,0.1,178,1.5,-3.54,0.0
A530,31/08/2017,03,10.0,11.1,9.8,91,91,86,8.7,8.9,8.0,898.8,899.1,898.8,0.1,154,1.0,-3.54,0.0
A530,31/08/2017,04,9.2,10.0,9.1,93,93,90,8.1,8.6,7.7,898.4,898.8,898.4,0.0,172,1.0,-3.54,0.0
A530,31/08/2017,05,8.5,9.2,8.5,94,94,93,7.6,8.2,7.6,898.2,898.4,898.2,0.0,164,0.7,-3.54,0.0
A530,31/08/2017,06,8.0,8.6,8.0,95,95,94,7.3,7.8,7.3,897.8,898.2,897.8,0.0,173,0.0,-3.54,0.0
A530,31/08/2017,07,7.7,8.6,7.7,94,96,93,6.8,7.9,6.7,898.1,898.1,897.8,0.0,52,1.8,-3.53,0.0
A530,31/08/2017,08,7.7,8.3,7.7,95,96,94,7.0,7.6,6.8,898.6,898.6,898.1,0.0,166,1.3,-3.53,0.0
A530,31/08/2017,09,7.4,7.7,7.1,96,96,95,6.8,7.2,6.5,899.0,899.0,898.6,0.0,167,1.1,-1.88,0.0
A530,31/08/2017,10,10.3,10.3,7.4,91,97,91,8.9,8.9,6.8,899.7,899.7,899.0,0.0,98,1.2,256.5,0.0
A530,31/08/2017,11,16.5,16.5,10.4,70,91,70,10.9,11.5,9.0,900.4,900.4,899.7,0.0,62,1.1,1033.,0.0
A530,31/08/2017,12,22.4,22.4,16.5,51,72,51,11.7,12.1,10.0,900.7,900.7,900.4,0.4,335,1.9,1834.,0.0
A530,31/08/2017,13,26.1,26.1,22.1,37,51,36,10.2,11.9,9.6,900.5,900.7,900.5,1.8,55,3.7,2471.,0.0
A530,31/08/2017,14,27.8,27.8,25.8,32,39,32,9.7,11.2,9.3,900.0,900.5,900.0,1.9,134,5.3,2877.,0.0
A530,31/08/2017,15,28.4,28.7,27.4,30,34,29,9.0,10.4,8.4,899.5,900.0,899.5,1.1,153,6.0,3085.,0.0
A530,31/08/2017,16,29.2,29.7,28.0,26,31,26,8.0,10.0,7.7,899.0,899.5,899.0,2.3,96,7.3,2961.,0.0
A530,31/08/2017,17,28.8,29.6,28.2,28,30,26,8.3,9.5,7.4,898.4,899.0,898.4,2.7,125,7.7,2688.,0.0
A530,31/08/2017,18,28.9,29.3,28.3,27,29,25,7.9,9.0,6.8,898.2,898.5,898.2,3.0,113,6.1,2142.,0.0
A530,31/08/2017,19,27.8,28.9,27.8,29,30,24,8.1,8.9,6.2,898.3,898.3,898.2,2.1,149,6.8,1419.,0.0
A530,31/08/2017,20,25.7,27.8,25.7,33,33,26,8.1,8.3,5.9,898.7,898.7,898.3,1.4,134,5.7,606.0,0.0
A530,01/09/2017,09,8.4,9.6,8.4,96,97,96,7.8,9.1,7.8,902.3,902.3,901.5,0.0,51,1.1,-2.49,0.2
A530,01/09/2017,08,9.1,10.1,8.8,97,97,96,8.6,9.6,8.2,901.5,901.5,901.0,0.5,200,1.1,-3.54,0.0
A530,01/09/2017,23,16.1,17.7,16.1,78,78,71,12.2,12.7,12.1,904.1,904.1,903.4,1.1,174,2.0,-3.54,0.0
A530,01/09/2017,10,11.1,11.1,8.3,96,97,96,10.5,10.5,7.8,903.2,903.2,902.3,0.3,160,1.6,267.5,0.0
A530,01/09/2017,11,16.5,16.5,11.1,80,96,79,13.1,13.3,10.5,903.9,903.9,903.2,0.0,9,1.5,970.7,0.0
A530,01/09/2017,12,19.5,19.5,16.2,69,80,67,13.6,13.6,12.3,904.3,904.3,903.9,2.3,74,5.6,1779.,0.0
A530,01/09/2017,13,20.9,21.0,19.0,61,69,58,13.1,14.0,12.1,904.3,904.3,904.2,2.7,19,6.4,2470.,0.0
A530,01/09/2017,14,23.0,23.0,20.8,50,61,49,12.2,13.1,11.2,904.1,904.3,904.0,3.6,58,7.6,2823.,0.0
A530,01/09/2017,15,23.1,23.9,22.7,48,52,45,11.4,13.1,10.9,903.5,904.1,903.5,3.2,38,7.8,2857.,0.0
