codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A739,29/08/2017,00,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A739,29/08/2017,23,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A739,29/08/2017,13,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A739,29/08/2017,01,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A739,29/08/2017,02,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A739,29/08/2017,11,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A739,29/08/2017,03,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A739,29/08/2017,04,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A739,29/08/2017,05,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A739,29/08/2017,06,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A739,29/08/2017,12,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A739,29/08/2017,14,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A739,29/08/2017,15,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A739,29/08/2017,07,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A739,29/08/2017,16,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A739,29/08/2017,17,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A739,29/08/2017,08,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A739,29/08/2017,18,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A739,29/08/2017,19,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A739,29/08/2017,09,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A739,29/08/2017,20,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A739,29/08/2017,21,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A739,29/08/2017,22,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A739,29/08/2017,10,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A739,30/08/2017,02,16.0,18.5,16.0,67,69,55,9.8,10.6,9.1,945.2,945.2,945.0,0.0,211,2.0,-3.54,0.0
A739,30/08/2017,03,17.3,17.6,15.1,58,71,57,8.9,10.3,8.9,945.1,945.2,945.1,0.5,136,1.9,-3.54,0.0
A739,30/08/2017,04,15.0,17.3,15.0,70,70,58,9.6,9.7,8.8,944.8,945.1,944.8,1.1,115,2.3,-3.54,0.0
A739,30/08/2017,05,16.4,16.6,15.1,58,70,57,8.2,9.5,8.1,944.6,944.9,944.6,1.4,95,3.3,-3.54,0.0
A739,30/08/2017,06,14.3,17.0,14.3,68,68,54,8.6,8.6,7.6,944.5,944.7,944.5,0.1,74,3.7,-3.54,0.0
A739,30/08/2017,22,21.2,24.9,21.2,49,49,34,9.9,9.9,8.1,943.6,943.6,943.2,0.0,118,0.0,-3.54,0.0
A739,30/08/2017,07,15.9,16.1,13.7,59,72,58,7.9,8.9,7.8,944.4,944.5,944.4,0.9,112,2.7,-3.54,0.0
A739,30/08/2017,23,19.5,21.2,19.4,54,54,47,9.9,10.2,9.0,944.4,944.4,943.6,0.0,167,0.0,-3.54,0.0
A739,30/08/2017,08,14.1,16.1,14.1,71,71,58,8.9,9.0,7.7,944.6,944.6,944.4,0.9,104,2.5,-3.54,0.0
