codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A715,29/08/2017,00,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A715,29/08/2017,09,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A715,29/08/2017,13,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A715,29/08/2017,10,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A715,29/08/2017,23,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A715,29/08/2017,01,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A715,29/08/2017,02,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A715,29/08/2017,11,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A715,29/08/2017,03,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A715,29/08/2017,04,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A715,29/08/2017,05,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A715,29/08/2017,06,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A715,29/08/2017,14,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A715,29/08/2017,15,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A715,29/08/2017,16,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A715,29/08/2017,12,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A715,29/08/2017,07,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A715,29/08/2017,17,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A715,29/08/2017,18,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A715,29/08/2017,19,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A715,29/08/2017,20,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A715,29/08/2017,08,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
