codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A713,29/08/2017,00,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A713,29/08/2017,09,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A713,29/08/2017,10,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A713,29/08/2017,23,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A713,29/08/2017,13,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A713,29/08/2017,01,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A713,29/08/2017,11,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A713,29/08/2017,02,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A713,29/08/2017,03,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A713,29/08/2017,04,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A713,29/08/2017,05,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A713,29/08/2017,06,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A713,29/08/2017,14,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A713,29/08/2017,15,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A713,29/08/2017,16,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A713,29/08/2017,12,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A713,29/08/2017,07,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A713,29/08/2017,17,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A713,29/08/2017,18,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A713,29/08/2017,19,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A713,29/08/2017,20,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A713,29/08/2017,08,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A713,29/08/2017,21,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A713,29/08/2017,22,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A713,30/08/2017,02,18.1,18.3,17.7,63,65,62,11.1,11.1,10.8,948.2,948.2,948.1,2.3,127,3.6,-3.54,0.0
A713,30/08/2017,03,13.9,18.3,13.8,84,84,63,11.3,12.0,10.5,948.2,948.3,948.1,1.6,110,3.2,-3.54,0.0
A713,30/08/2017,04,13.3,16.2,13.2,87,87,76,11.1,12.4,10.4,947.9,948.2,947.9,0.0,252,2.3,-3.54,0.0
A713,30/08/2017,05,12.7,13.8,12.6,91,91,86,11.2,12.0,11.0,947.7,947.9,947.7,0.0,239,0.8,-3.54,0.0
A713,30/08/2017,06,13.5,13.7,12.7,91,92,91,12.1,12.3,11.4,947.5,947.7,947.4,0.0,212,0.8,-3.54,0.0
A713,30/08/2017,07,12.6,13.6,12.4,94,94,91,11.6,12.2,11.3,947.1,947.5,947.1,0.0,227,0.0,-3.54,0.0
A713,30/08/2017,08,12.6,12.9,11.9,97,97,94,12.1,12.4,11.0,947.4,947.4,947.1,0.0,117,0.0,-3.51,0.0
A713,30/08/2017,23,21.3,23.1,21.2,60,60,50,13.3,13.5,12.1,947.1,947.2,946.8,0.0,317,0.0,-3.54,0.0
A713,30/08/2017,09,11.9,12.6,11.0,98,98,96,11.6,12.1,10.5,947.9,947.9,947.4,1.4,95,2.2,-3.54,0.0
A713,30/08/2017,10,11.7,12.1,10.7,98,98,97,11.4,11.8,10.2,948.5,948.5,947.9,0.1,127,1.7,61.42,0.0
