codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A728,29/08/2017,23,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A728,29/08/2017,00,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A728,29/08/2017,01,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A728,29/08/2017,02,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A728,29/08/2017,03,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A728,29/08/2017,11,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A728,29/08/2017,04,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A728,29/08/2017,05,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A728,29/08/2017,06,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A728,29/08/2017,12,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A728,29/08/2017,07,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A728,29/08/2017,08,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A728,29/08/2017,09,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A728,29/08/2017,14,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A728,29/08/2017,15,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A728,29/08/2017,13,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A728,29/08/2017,16,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A728,29/08/2017,17,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A728,29/08/2017,10,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A728,29/08/2017,18,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A728,29/08/2017,19,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A728,29/08/2017,20,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A728,29/08/2017,21,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A728,29/08/2017,22,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A728,30/08/2017,08,12.1,12.9,11.5,91,91,88,10.6,11.2,9.8,950.6,950.6,950.5,0.4,28,2.3,-3.54,0.0
A728,30/08/2017,09,11.2,12.2,11.0,91,92,90,9.7,10.8,9.4,951.3,951.3,950.6,0.4,248,2.6,-3.54,0.0
A728,30/08/2017,10,12.2,12.6,11.1,89,92,89,10.5,11.2,9.6,952.0,952.0,951.3,0.7,336,1.8,116.9,0.0
A728,30/08/2017,11,16.0,16.0,12.2,82,90,82,13.0,13.1,10.6,952.5,952.5,952.0,0.6,354,1.8,757.1,0.0
A728,30/08/2017,22,21.2,24.2,20.7,57,66,46,12.4,14.1,11.9,949.3,949.3,948.6,0.3,92,1.1,-3.54,0.0
A728,30/08/2017,12,19.6,19.6,16.0,70,83,69,14.0,14.0,12.9,952.7,952.7,952.4,1.2,76,2.7,1530.,0.0
A728,30/08/2017,23,18.8,21.2,18.8,70,70,57,13.1,14.0,12.3,950.0,950.0,949.3,0.4,242,1.2,-3.54,0.0
A728,30/08/2017,00,16.1,19.1,16.0,78,79,67,12.3,13.0,11.8,951.0,951.0,950.9,0.3,213,4.8,-3.54,0.0
A728,30/08/2017,13,22.6,22.7,19.7,58,70,57,13.9,14.6,13.5,952.5,952.8,952.4,1.6,48,4.2,2169.,0.0
A728,30/08/2017,14,25.8,25.8,22.5,43,59,43,12.4,14.8,12.4,951.6,952.5,951.6,2.5,22,4.5,2664.,0.0
A728,30/08/2017,15,28.4,28.5,25.8,37,44,35,12.2,13.0,10.9,950.6,951.6,950.6,1.2,2,4.4,2943.,0.0
A728,30/08/2017,16,30.2,30.9,28.4,25,37,23,8.1,12.2,7.1,949.5,950.6,949.5,2.2,261,4.4,2968.,0.0
A728,30/08/2017,17,31.8,31.8,30.1,17,27,17,3.5,8.8,3.4,948.5,949.5,948.5,4.0,239,7.8,2572.,0.0
A728,30/08/2017,18,32.2,32.3,31.7,17,20,14,3.7,6.1,1.6,948.0,948.5,948.0,3.7,232,8.0,1738.,0.0
A728,30/08/2017,19,32.3,32.5,31.8,17,19,15,4.3,5.5,2.5,948.0,948.0,947.9,2.2,233,5.9,1213.,0.0
A728,30/08/2017,01,14.6,16.1,14.6,84,84,78,11.9,12.7,11.9,951.4,951.4,951.0,0.2,115,1.5,-3.54,0.0
A728,30/08/2017,20,30.8,32.4,30.8,25,26,17,8.4,8.9,4.0,948.2,948.2,948.0,1.8,209,5.0,716.5,0.0
A728,30/08/2017,21,24.2,30.7,24.2,46,46,23,11.9,12.0,7.5,948.6,948.6,948.2,0.3,265,3.3,77.46,0.0
A728,30/08/2017,02,14.1,15.0,13.7,87,87,84,12.0,12.7,11.1,951.7,951.7,951.4,1.0,241,1.5,-3.54,0.0
A728,30/08/2017,03,14.0,14.7,13.5,83,88,83,11.2,12.4,11.2,951.8,951.8,951.6,0.7,213,3.4,-3.54,0.0
A728,30/08/2017,04,13.0,14.0,12.8,88,89,83,11.1,11.7,10.7,951.3,951.8,951.3,0.6,251,1.2,-3.54,0.0
A728,30/08/2017,05,12.8,13.2,12.3,90,90,87,11.1,11.6,10.3,950.9,951.3,950.9,0.5,250,1.0,-3.54,0.0
A728,30/08/2017,06,12.1,13.9,12.1,89,91,87,10.3,12.4,10.3,950.5,950.9,950.5,0.8,296,4.9,-3.54,0.0
A728,30/08/2017,07,12.6,12.9,11.5,89,91,88,10.8,11.4,9.7,950.6,950.6,950.3,0.7,216,1.7,-3.54,0.0
A728,31/08/2017,04,13.9,15.3,13.9,85,86,80,11.4,12.5,11.2,951.1,951.5,951.1,0.5,210,1.6,-3.54,0.0
A728,31/08/2017,16,24.3,25.1,22.7,54,60,52,14.4,14.9,13.9,955.1,956.0,955.1,1.9,229,5.2,1564.,0.0
A728,31/08/2017,22,17.7,18.2,17.7,74,74,74,12.9,13.5,12.9,956.8,956.8,956.5,3.3,180,6.9,-3.29,0.0
A728,31/08/2017,09,15.4,16.0,15.2,90,90,89,13.8,14.2,13.5,954.5,954.5,953.1,3.1,216,5.8,-3.54,0.0
A728,31/08/2017,14,22.2,23.6,21.8,62,62,55,14.4,14.6,13.4,956.4,956.6,956.3,3.4,193,5.5,1537.,0.0
A728,31/08/2017,19,20.6,23.3,20.6,66,66,59,13.9,15.0,13.8,955.0,955.0,954.5,6.5,167,12.8,965.0,0.0
A728,31/08/2017,07,16.7,16.8,15.2,84,84,74,13.9,13.9,11.3,952.3,952.3,951.7,3.9,230,6.0,-3.54,0.0
A728,31/08/2017,13,22.3,22.9,20.3,61,72,60,14.3,15.6,14.1,956.6,956.6,956.5,1.8,107,4.4,1481.,0.0
A728,31/08/2017,15,23.1,23.3,22.1,58,63,58,14.4,14.9,14.2,956.0,956.4,956.0,2.7,186,5.3,976.6,0.0
A728,31/08/2017,21,18.2,20.0,18.2,74,74,69,13.5,14.2,13.5,956.6,956.6,955.8,3.5,174,9.9,90.52,0.0
A728,31/08/2017,11,19.2,19.2,16.6,81,86,81,15.9,15.9,14.1,956.1,956.1,955.3,0.6,246,3.0,547.8,0.0
A728,31/08/2017,18,23.1,25.7,23.1,59,59,49,14.6,14.9,13.6,954.5,954.5,954.2,6.1,162,9.8,1327.,0.0
A728,31/08/2017,12,20.3,20.5,19.2,71,81,70,14.8,16.1,14.6,956.6,956.6,956.1,2.0,208,3.5,1227.,0.0
A728,31/08/2017,17,25.6,25.8,23.5,49,56,49,14.0,14.8,13.8,954.3,955.1,954.3,2.1,227,5.3,2120.,0.0
A728,31/08/2017,05,14.9,15.5,13.9,80,87,80,11.6,12.8,11.3,951.4,951.4,951.1,1.1,285,1.6,-3.54,0.0
A728,31/08/2017,01,17.4,18.4,16.7,74,79,71,12.9,13.4,12.5,950.9,950.9,950.5,0.8,185,2.0,-3.54,0.0
A728,31/08/2017,10,16.7,16.7,15.5,85,90,85,14.2,14.4,13.8,955.3,955.3,954.5,1.7,258,4.7,111.9,0.0
A728,31/08/2017,06,15.3,16.1,14.1,77,84,75,11.2,12.1,10.6,951.7,951.7,951.4,2.0,244,2.8,-3.54,0.0
A728,31/08/2017,03,14.6,16.3,14.4,83,83,77,11.8,12.4,11.4,951.4,951.5,951.4,0.7,246,1.4,-3.54,0.0
A728,31/08/2017,20,19.9,21.2,19.8,69,69,65,14.1,14.4,13.7,955.8,955.8,955.0,4.7,176,11.9,680.0,0.0
A728,31/08/2017,02,15.9,19.0,15.7,78,79,67,12.2,13.0,11.7,951.4,951.4,950.9,0.5,240,2.8,-3.54,0.0
A728,31/08/2017,08,16.0,16.7,16.0,89,89,84,14.2,14.4,13.7,953.2,953.2,952.3,3.8,231,6.0,-3.54,0.0
A728,31/08/2017,23,16.6,17.7,16.5,78,78,74,12.7,12.9,12.6,957.2,957.2,956.8,2.8,166,7.1,-3.52,0.0
A728,31/08/2017,00,16.9,19.8,16.6,79,79,68,13.2,13.7,12.5,950.5,950.5,950.0,0.4,225,1.6,-3.54,0.0
A728,01/09/2017,20,22.3,25.1,22.3,58,58,48,13.8,13.8,12.8,956.9,956.9,956.4,3.8,140,7.9,668.6,0.0
A728,01/09/2017,21,19.1,22.3,19.1,68,68,58,13.0,13.8,13.0,957.5,957.5,956.9,4.8,156,9.3,78.41,0.0
A728,01/09/2017,16,24.3,24.8,23.0,51,53,49,13.6,14.0,12.3,957.6,958.6,957.6,3.6,55,6.7,2301.,0.0
A728,01/09/2017,19,24.6,25.6,24.5,49,50,46,13.1,13.7,12.8,956.4,956.6,956.3,5.4,36,8.1,1292.,0.0
A728,01/09/2017,11,17.8,17.8,16.7,80,85,80,14.2,14.2,14.0,959.6,959.7,958.8,0.7,84,3.2,298.4,0.0
A728,01/09/2017,00,16.8,16.9,16.5,77,78,77,12.9,12.9,12.7,957.8,957.8,957.1,5.9,159,8.4,-3.42,0.0
A728,01/09/2017,07,17.0,17.0,16.9,80,81,80,13.5,13.5,13.4,957.4,957.5,957.3,1.6,153,2.1,-2.02,0.0
A728,01/09/2017,17,25.0,26.1,23.8,47,52,46,13.0,14.2,12.7,956.9,957.6,956.9,3.8,50,7.6,2628.,0.0
A728,01/09/2017,18,24.9,25.6,24.5,49,50,46,13.3,13.9,12.7,956.5,956.9,956.5,4.7,25,7.6,1672.,0.0
A728,01/09/2017,13,22.0,22.5,19.5,58,70,58,13.5,14.6,13.5,959.7,960.0,959.6,2.3,46,4.6,2177.,0.0
